ENSG,Name,abs expressing tissues,Class,Type,core/var
ENSG00000185104,FAF1,2,p97 and associates,"UBX, thioredoxin-like, UBA",variable
ENSG00000123091,RNF11,2,E3 ligase ,other,variable
ENSG00000162378,ZYG11B,2,E3 ligase ,substrate adaptors,variable
ENSG00000203995,ZYG11A,20,E3 ligase ,substrate adaptors,variable
ENSG00000162402,USP24,3,ubiquitin and UBL proteins,DUB,variable
ENSG00000162409,PRKAA2,10,ubiquitin and UBL binding,AMP-activated Ser/Thr kinases,variable
ENSG00000162601,MYSM1,1,Ub and UBL demodifiers,assorted,variable
ENSG00000162607,USP1,1,Ub and UBL demodifiers,assorted,variable
ENSG00000177414,UBE2U,4,E2 conjugating enzymes,UBC domain & C-terminal extension,variable
ENSG00000132485,ZRANB2,1,ubiquitin and UBL binding,mRNA splicing,variable
ENSG00000154007,ASB17,2,E3 ligase ,SOCS box,variable
ENSG00000077254,USP33,1,Ub and UBL demodifiers,"DUSP, UBP-ZnF",variable
ENSG00000174842,GLMN,1,E3 ligase ,CRL regulator,variable
ENSG00000122481,RWDD3,2,ubiquitin and UBL binding,RWD domain,variable
ENSG00000143106,PSMA5,0,proteasome & associates,constitutive,core
ENSG00000162650,ATXN7L2,6,ubiquitin and UBL binding,SCA7,variable
ENSG00000186150,UBL4B,14,ubiquitin and UBL proteins,chaperones and related,variable
ENSG00000197323,TRIM33,0,E3 ligase ,TRIM,variable
ENSG00000134253,TRIM45,7,E3 ligase ,TRIM,variable
ENSG00000265491,RNF115,4,E3 ligase ,other,variable
ENSG00000131788,PIAS3,2,E3 ligase ,sumoylation,variable
ENSG00000265972,TXNIP,13,E3 ligase ,nan,variable
ENSG00000264522,OTUD7B,4,p97 and associates,OTU ,variable
ENSG00000143379,SETDB1,0,ubiquitin and UBL binding,repression,variable
ENSG00000143409,MINDY1,3,Ub and UBL demodifiers,nan,variable
ENSG00000159352,PSMD4,1,proteasome & associates,nonATPase,variable
ENSG00000159377,PSMB4,1,proteasome & associates,constitutive,variable
ENSG00000143569,UBAP2L,0,ubiquitin and UBL binding,RNA polymerase II removal,core
ENSG00000160714,UBE2Q1,0,E2 conjugating enzymes,UBC domain & RWD-like domain ,core
ENSG00000163357,DCST1,10,E3 ligase ,other,variable
ENSG00000163462,TRIM46,22,E3 ligase ,TRIM,variable
ENSG00000160803,UBQLN4,2,proteasome & associates,UBL,variable
ENSG00000254726,MEX3A,10,E3 ligase ,MEX3,variable
ENSG00000132716,DCAF8,1,E3 ligase ,DCAF,variable
ENSG00000143222,UFC1,0,E2 conjugating enzymes,nan,core
ENSG00000143258,USP21,0,Ub and UBL demodifiers,assorted,core
ENSG00000143164,DCAF6,2,E3 ligase ,DCAF,variable
ENSG00000076321,KLHL20,0,E3 ligase ,BTB,variable
ENSG00000135870,RC3H1,0,E3 ligase ,Roquin,variable
ENSG00000116161,CACYBP,2,E3 ligase ,none,variable
ENSG00000143207,RFWD2,0,E3 ligase ,DCAF,core
ENSG00000169905,TOR1AIP2,2,E3 ligase ,DCAF,variable
ENSG00000121481,RNF2,0,ubiquitin and UBL proteins,E3 ligases,variable
ENSG00000116679,IVNS1ABP,2,E3 ligase ,BTB,variable
ENSG00000116750,UCHL5,2,proteasome & associates,UCH,variable
ENSG00000077152,UBE2T,14,E2 conjugating enzymes,UBC domain & C-terminal extension,variable
ENSG00000117153,KLHL12,0,E3 ligase ,BTB,core
ENSG00000163444,TMEM183A,3,E3 ligase ,F-box,variable
ENSG00000198625,MDM4,1,E3 ligase ,Mdm,variable
ENSG00000117222,RBBP5,0,E3 ligase ,DCAF,variable
ENSG00000263528,IKBKE,11,ubiquitin and UBL proteins,assorted enzymes ,variable
ENSG00000180667,YOD1,4,ubiquitin and UBL proteins,DUB,variable
ENSG00000082512,TRAF5,9,E3 ligase ,"TRAF-type ZnF, MATH/TRAF ",variable
ENSG00000143476,DTL,15,E3 ligase ,DCAF,variable
ENSG00000136636,KCTD3,4,E3 ligase ,BTB,variable
ENSG00000116141,MARK1,7,ubiquitin and UBL binding,microtubule-associated Ser/Thr kinases,variable
ENSG00000143756,FBXO28,0,E3 ligase ,F-box,variable
ENSG00000162923,WDR26,1,E3 ligase ,subunit,variable
ENSG00000143751,SDE2,1,ubiquitin and UBL proteins,nucleic acid processes,variable
ENSG00000154370,TRIM11,3,E3 ligase ,TRIM,variable
ENSG00000162931,TRIM17,15,E3 ligase ,TRIM,variable
ENSG00000168159,RNF187,2,E3 ligase ,TRIM,variable
ENSG00000119283,TRIM67,26,E3 ligase ,TRIM,variable
ENSG00000010072,SPRTN,1,p97 and associates,metalloprotease,variable
ENSG00000168264,IRF2BP2,1,E3 ligase ,IRF2 binding,variable
ENSG00000116957,TBCE,2,ubiquitin and UBL proteins,chaperones and related,variable
ENSG00000162722,TRIM58,17,E3 ligase ,TRIM,variable
ENSG00000151692,RNF144A,10,E3 ligase ,assorted,variable
ENSG00000119771,KLHL29,9,E3 ligase ,BTB,variable
ENSG00000173960,UBXN2A,3,p97 and associates,"UBX, SHP, SEP",variable
ENSG00000138100,TRIM54,20,E3 ligase ,TRIM,variable
ENSG00000158019,BRE,2,E3 ligase ,BRCA1-specific,variable
ENSG00000119801,YPEL5,1,E3 ligase ,subunit,variable
ENSG00000115760,BIRC6,0,E2 conjugating enzymes,E2-E3 chimera,variable
ENSG00000163214,DHX57,1,ubiquitin and UBL binding,"UBA, RWD domain",variable
ENSG00000171150,SOCS5,2,E3 ligase ,SOCS box,variable
ENSG00000138081,FBXO11,1,E3 ligase ,F-box,variable
ENSG00000115239,ASB3,0,E3 ligase ,SOCS box,variable
ENSG00000068878,PSME4,2,proteasome & associates,activator,variable
ENSG00000143947,RPS27A,2,ubiquitin and UBL proteins,ribosomal ubiquitin fusion,variable
ENSG00000115392,FANCL,4,E3 ligase ,other,variable
ENSG00000115464,USP34,0,ubiquitin and UBL proteins,DUB,variable
ENSG00000173163,COMMD1,1,E3 ligase ,CRL regulator,variable
ENSG00000197329,PELI1,6,E3 ligase ,Pellino,variable
ENSG00000087338,GMCL1,0,E3 ligase ,BTB,variable
ENSG00000163013,FBXO41,16,E3 ligase ,F-box,variable
ENSG00000124356,STAMBP,1,Ub and UBL demodifiers,assorted,variable
ENSG00000115289,PCGF1,0,ubiquitin and UBL proteins,E3 ligases,core
ENSG00000115307,AUP1,1,ubiquitin and UBL binding,ERAD cofactor,variable
ENSG00000176407,KCMF1,1,E3 ligase ,TRAC-1,variable
ENSG00000168894,RNF181,1,E3 ligase ,other,variable
ENSG00000168883,USP39,1,Ub and UBL demodifiers,UBP-ZnF,variable
ENSG00000239305,RNF103,3,E3 ligase ,other,variable
ENSG00000153561,RMND5A,6,E3 ligase ,subunit,variable
ENSG00000144021,CIAO1,0,E3 ligase ,DCAF,core
ENSG00000163121,NEURL3,18,E3 ligase ,Neuralized,variable
ENSG00000135945,REV1,1,ubiquitin and UBL binding,dCTP transferase,variable
ENSG00000170500,LONRF2,15,E3 ligase ,LON,variable
ENSG00000163162,RNF149,2,E3 ligase ,Goliath,variable
ENSG00000153201,RANBP2,0,E3 ligase ,sumoylation,core
ENSG00000172985,SH3RF3,8,E3 ligase ,SH3,variable
ENSG00000153107,ANAPC1,1,E3 ligase ,subunit,variable
ENSG00000144224,UBXN4,0,p97 and associates,"UBX, thioredoxin-like",core
ENSG00000144228,SPOPL,3,E3 ligase ,BTB,variable
ENSG00000196151,WDSUB1,0,E3 ligase ,UBOX,variable
ENSG00000136536,MARCH7,0,E3 ligase ,MARCH,core
ENSG00000136560,TANK,2,ubiquitin and UBL binding,nan,variable
ENSG00000115233,PSMD14,3,proteasome & associates,nonATPase,variable
ENSG00000082438,COBLL1,12,ubiquitin and UBL proteins,non-enzymes,variable
ENSG00000239474,KLHL41,11,E3 ligase ,BTB,variable
ENSG00000213160,KLHL23,6,E3 ligase ,BTB,variable
ENSG00000144357,UBR3,2,E3 ligase ,UBR,variable
ENSG00000115827,DCAF17,0,E3 ligase ,DCAF,variable
ENSG00000116044,NFE2L2,2,proteasome & associates,transcription factor,variable
ENSG00000170035,UBE2E3,1,E2 conjugating enzymes,UBC domain & N-terminal extension,variable
ENSG00000163012,ZSWIM2,9,E3 ligase ,other,variable
ENSG00000138411,HECW2,10,E3 ligase ,WW & C2,variable
ENSG00000196141,SPATS2L,4,ubiquitin and UBL binding,UBA,variable
ENSG00000116030,SUMO1,0,ubiquitin and UBL proteins,SUMO,core
ENSG00000138442,WDR12,3,E3 ligase ,DCAF,variable
ENSG00000138376,BARD1,9,E3 ligase ,BRCA1-associated,variable
ENSG00000144583,MARCH4,25,E3 ligase ,MARCH,variable
ENSG00000135913,USP37,1,Ub and UBL demodifiers,"PH-like, UIM",variable
ENSG00000163481,RNF25,0,E3 ligase ,other,core
ENSG00000158552,ZFAND2B,2,proteasome & associates,AN1,variable
ENSG00000163516,ANKZF1,3,p97 and associates,"VIM, ankyrin repeats",variable
ENSG00000135924,DNAJB2,1,ubiquitin and UBL binding,HSP70 cochaperone,variable
ENSG00000036257,CUL3,2,E3 ligase ,Cullin,variable
ENSG00000144468,RHBDD1,1,p97 and associates,serine protease,variable
ENSG00000153827,TRIP12,2,proteasome & associates,HECT,variable
ENSG00000153832,FBXO36,5,E3 ligase ,F-box,variable
ENSG00000173692,PSMD1,2,proteasome & associates,nonATPase,variable
ENSG00000144524,COPS7B,0,Ub and UBL demodifiers,deNEDDylase,core
ENSG00000085982,USP40,1,ubiquitin and UBL proteins,DUB,variable
ENSG00000198612,COPS8,2,Ub and UBL demodifiers,deNEDDylase,variable
ENSG00000177483,RBM44,8,ubiquitin and UBL binding,mRNA splicing,variable
ENSG00000184182,UBE2F,1,E2 conjugating enzymes,nan,variable
ENSG00000168427,KLHL30,18,E3 ligase ,BTB,variable
ENSG00000065802,ASB1,1,E3 ligase ,SOCS box,variable
ENSG00000113851,CRBN,0,E3 ligase ,DCAF,core
ENSG00000070950,RAD18,0,E3 ligase ,SAP,variable
ENSG00000134086,VHL,1,E3 ligase ,VHL,variable
ENSG00000075975,MKRN2,2,E3 ligase ,Makorin,variable
ENSG00000144712,CAND2,9,E3 ligase ,CRL regulator,variable
ENSG00000182247,UBE2E2,2,E2 conjugating enzymes,UBC domain & N-terminal extension,variable
ENSG00000170142,UBE2E1,0,E2 conjugating enzymes,UBC domain & N-terminal extension,core
ENSG00000151092,NGLY1,3,proteasome & associates,deglycosylase,variable
ENSG00000206557,TRIM71,25,E3 ligase ,TRIM,variable
ENSG00000153558,FBXL2,10,E3 ligase ,F-box,variable
ENSG00000114742,WDR48,0,ubiquitin and UBL proteins,DUB modulator,variable
ENSG00000157119,KLHL40,13,E3 ligase ,BTB,variable
ENSG00000163788,SNRK,1,ubiquitin and UBL binding,other Ser/Thr kinase,variable
ENSG00000114648,KLHL18,0,E3 ligase ,BTB,variable
ENSG00000177479,ARIH2,1,E3 ligase ,Ariadne,variable
ENSG00000172046,USP19,1,ubiquitin and UBL proteins,DUB,variable
ENSG00000114316,USP4,1,ubiquitin and UBL proteins,DUB,variable
ENSG00000164068,RNF123,3,E3 ligase ,SPRY but not TRIM,variable
ENSG00000182179,UBA7,8,E1 activating enzymes,nan,variable
ENSG00000183763,TRAIP,4,E3 ligase ,other,variable
ENSG00000004534,RBM6,0,ubiquitin and UBL binding,mRNA splicing,core
ENSG00000003756,RBM5,0,ubiquitin and UBL binding,mRNA splicing,core
ENSG00000114735,HEMK1,3,ubiquitin and UBL binding,mitochondrial,variable
ENSG00000114737,CISH,18,E3 ligase ,SOCS box,variable
ENSG00000145041,DCAF1,2,E3 ligase ,DCAF,variable
ENSG00000164091,WDR82,0,E3 ligase ,DCAF,core
ENSG00000163930,BAP1,3,Ub and UBL demodifiers,nan,variable
ENSG00000239388,ASB14,3,E3 ligase ,SOCS box,variable
ENSG00000168301,KCTD6,3,E3 ligase ,BTB,variable
ENSG00000163635,ATXN7,1,ubiquitin and UBL binding,activation,variable
ENSG00000163636,PSMD6,2,proteasome & associates,nonATPase,variable
ENSG00000163376,KBTBD8,15,E3 ligase ,BTB,variable
ENSG00000144744,UBA3,1,E1 activating enzymes,nan,variable
ENSG00000163602,RYBP,1,ubiquitin and UBL binding,repression,variable
ENSG00000121440,PDZRN3,14,E3 ligase ,PDZ,variable
ENSG00000138468,SENP7,1,Ub and UBL demodifiers,deSUMOylase,variable
ENSG00000114423,CBLB,5,E3 ligase ,"CBL, UBA",variable
ENSG00000198919,DZIP3,6,E3 ligase ,other,variable
ENSG00000163833,FBXO40,20,E3 ligase ,F-box,variable
ENSG00000196981,WDR5B,1,E3 ligase ,DCAF,variable
ENSG00000163840,DTX3L,6,E3 ligase ,Deltex,variable
ENSG00000114626,ABTB1,4,E3 ligase ,BTB,variable
ENSG00000187715,KBTBD12,18,E3 ligase ,BTB,variable
ENSG00000081307,UBA5,1,E1 activating enzymes,nan,variable
ENSG00000129055,ANAPC13,1,E3 ligase ,subunit,variable
ENSG00000174579,MSL2,1,E3 ligase ,other,variable
ENSG00000114098,ARMC8,2,E3 ligase ,subunit,variable
ENSG00000155890,TRIM42,1,E3 ligase ,TRIM,variable
ENSG00000175093,SPSB4,20,E3 ligase ,SOCS box,variable
ENSG00000114125,RNF7,1,E3 ligase ,RBX RING,variable
ENSG00000071794,HLTF,4,E3 ligase ,other,variable
ENSG00000082996,RNF13,3,E3 ligase ,Goliath,variable
ENSG00000181788,SIAH2,6,E3 ligase ,"SIAH-type ZnF, SIA TRAF-like domain",variable
ENSG00000213186,TRIM59,13,E3 ligase ,TRIM,variable
ENSG00000058056,USP13,6,Ub and UBL demodifiers,"UBP-ZnF, UBA",variable
ENSG00000043093,DCUN1D1,1,E3 ligase ,NEDDylation,variable
ENSG00000172578,KLHL6,9,E3 ligase ,BTB,variable
ENSG00000114796,KLHL24,3,E3 ligase ,BTB,variable
ENSG00000175166,PSMD2,1,proteasome & associates,nonATPase,variable
ENSG00000177383,MAGEF1,3,E3 ligase ,MAGE,variable
ENSG00000156931,VPS8,0,E3 ligase ,VPS-associated,variable
ENSG00000163904,SENP2,1,Ub and UBL demodifiers,deSUMOylase,variable
ENSG00000061938,TNK2,4,ubiquitin and UBL binding,other Ser/Thr kinase,variable
ENSG00000163960,UBXN7,0,p97 and associates,"UBX, thioredoxin-like, UBA",variable
ENSG00000163961,RNF168,1,E3 ligase ,other,variable
ENSG00000185798,WDR53,1,E3 ligase ,DCAF,variable
ENSG00000174013,FBXO45,6,E3 ligase ,F-box,variable
ENSG00000119231,SENP5,0,Ub and UBL demodifiers,deSUMOylase,variable
ENSG00000185619,PCGF3,0,ubiquitin and UBL proteins,E3 ligases,core
ENSG00000178222,RNF212,13,E3 ligase ,other,variable
ENSG00000090316,MAEA,1,E3 ligase ,subunit,variable
ENSG00000168936,TMEM129,0,E3 ligase ,nan,core
ENSG00000063978,RNF4,0,E3 ligase ,other,core
ENSG00000168884,TNIP2,4,ubiquitin and UBL binding,UBAN & NEMO-type ZnF,variable
ENSG00000118564,FBXL5,1,E3 ligase ,F-box,variable
ENSG00000163257,DCAF16,0,E3 ligase ,DCAF,variable
ENSG00000053900,ANAPC4,0,E3 ligase ,subunit,core
ENSG00000109790,KLHL5,5,E3 ligase ,BTB,variable
ENSG00000035928,RFC1,0,ubiquitin and UBL binding,DNA polymerase clamp loader,variable
ENSG00000078140,UBE2K,0,E2 conjugating enzymes,UBC domain & UBA domain,core
ENSG00000078177,N4BP2,3,ubiquitin and UBL binding,DNA nicking endonuclease,variable
ENSG00000154277,UCHL1,22,Ub and UBL demodifiers,nan,variable
ENSG00000182308,DCAF4L1,4,E3 ligase ,DCAF,variable
ENSG00000170448,NFXL1,1,E3 ligase ,NFX,variable
ENSG00000109184,DCUN1D4,2,E3 ligase ,NEDDylation,variable
ENSG00000109189,USP46,7,Ub and UBL demodifiers,assorted,variable
ENSG00000072201,LNX1,10,E3 ligase ,PDZ,variable
ENSG00000205678,TECRL,21,ubiquitin and UBL proteins,assorted enzymes ,variable
ENSG00000033178,UBA6,0,E1 activating enzymes,nan,variable
ENSG00000163743,RCHY1,1,E3 ligase ,other,variable
ENSG00000138663,COPS4,1,Ub and UBL demodifiers,deNEDDylase,variable
ENSG00000145332,KLHL8,1,E3 ligase ,BTB,variable
ENSG00000138642,HERC6,3,E3 ligase ,RCC1,variable
ENSG00000138646,HERC5,8,E3 ligase ,RCC1,variable
ENSG00000138641,HERC3,3,E3 ligase ,RCC1,variable
ENSG00000163104,SMARCAD1,1,ubiquitin and UBL binding,chromatin remodeling,variable
ENSG00000109332,UBE2D3,1,E2 conjugating enzymes,UBC domain only ,variable
ENSG00000138778,CENPE,6,ubiquitin and UBL binding,SIM,variable
ENSG00000145390,USP53,8,Ub and UBL demodifiers,"assorted, large",variable
ENSG00000170153,RNF150,12,E3 ligase ,Goliath,variable
ENSG00000170185,USP38,1,Ub and UBL demodifiers,"assorted, large",variable
ENSG00000164162,ANAPC10,1,E3 ligase ,subunit,variable
ENSG00000164164,OTUD4,2,Ub and UBL demodifiers,assorted,variable
ENSG00000109670,FBXW7,6,E3 ligase ,F-box,variable
ENSG00000109654,TRIM2,9,E3 ligase ,TRIM,variable
ENSG00000145428,RNF175,19,E3 ligase ,other,variable
ENSG00000145416,MARCH1,3,E3 ligase ,MARCH,variable
ENSG00000183439,TRIM61,13,E3 ligase ,TRIM,variable
ENSG00000109466,KLHL2,7,E3 ligase ,BTB,variable
ENSG00000154447,SH3RF1,4,E3 ligase ,SH3,variable
ENSG00000164117,FBXO8,1,E3 ligase ,F-box,variable
ENSG00000164122,ASB5,23,E3 ligase ,SOCS box,variable
ENSG00000182552,RWDD4,3,ubiquitin and UBL binding,RWD domain,variable
ENSG00000109775,UFSP2,2,Ub and UBL demodifiers,deURMylase,variable
ENSG00000179046,TRIML2,12,E3 ligase ,TRIM,variable
ENSG00000184108,TRIML1,2,E3 ligase ,TRIM,variable
ENSG00000215218,UBE2QL1,22,E2 conjugating enzymes,UBC domain only,variable
ENSG00000145495,MARCH6,0,E3 ligase ,MARCH,core
ENSG00000154124,OTULIN,5,Ub and UBL demodifiers,assorted,variable
ENSG00000183580,FBXL7,13,E3 ligase ,F-box,variable
ENSG00000183654,MARCH11,26,E3 ligase ,MARCH,variable
ENSG00000145604,SKP2,3,E3 ligase ,F-box,variable
ENSG00000132356,PRKAA1,1,ubiquitin and UBL binding,AMP-activated Ser/Thr kinases,variable
ENSG00000151876,FBXO4,0,E3 ligase ,F-box,variable
ENSG00000164287,CDC20B,7,E3 ligase ,activator,variable
ENSG00000095015,MAP3K1,6,E3 ligase ,other,variable
ENSG00000049167,ERCC8,0,E3 ligase ,DCAF,variable
ENSG00000164197,RNF180,2,E3 ligase ,other,variable
ENSG00000113595,TRIM23,3,E3 ligase ,TRIM,variable
ENSG00000172062,SMN1,0,ubiquitin and UBL binding,mRNA splicing,variable
ENSG00000171617,ENC1,13,E3 ligase ,BTB,variable
ENSG00000122008,POLK,1,ubiquitin and UBL binding,DNA polymerase,variable
ENSG00000164309,CMYA5,13,E3 ligase ,TRIM,variable
ENSG00000152422,XRCC4,1,ubiquitin and UBL binding,DNA repair accessory,variable
ENSG00000113369,ARRDC3,6,E3 ligase ,nan,variable
ENSG00000164292,RHOBTB3,9,E3 ligase ,BTB,variable
ENSG00000145743,FBXL17,4,E3 ligase ,F-box,variable
ENSG00000198961,PJA2,1,E3 ligase ,Praja,variable
ENSG00000152503,TRIM36,23,E3 ligase ,TRIM,variable
ENSG00000145780,FEM1C,2,E3 ligase ,substrate adaptors,variable
ENSG00000173926,MARCH3,14,E3 ligase ,MARCH,variable
ENSG00000113558,SKP1,1,E3 ligase ,CRL adaptor,variable
ENSG00000119048,UBE2B,1,E2 conjugating enzymes,UBC domain only ,variable
ENSG00000043143,JADE2,4,E3 ligase ,PHD-type ZnF,variable
ENSG00000146021,KLHL3,7,E3 ligase ,BTB,variable
ENSG00000094880,CDC23,0,E3 ligase ,subunit,variable
ENSG00000131508,UBE2D2,0,E2 conjugating enzymes,UBC domain only ,core
ENSG00000013561,RNF14,1,E3 ligase ,RWD,variable
ENSG00000131507,NDFIP1,3,E3 ligase ,nan,variable
ENSG00000156463,SH3RF2,23,E3 ligase ,SH3,variable
ENSG00000145868,FBXO38,0,E3 ligase ,F-box,core
ENSG00000145901,TNIP1,4,ubiquitin and UBL binding,UBAN,variable
ENSG00000145860,RNF145,3,E3 ligase ,other,variable
ENSG00000164332,UBLCP1,0,ubiquitin and UBL proteins,assorted enzymes ,core
ENSG00000072803,FBXW11,2,E3 ligase ,F-box,variable
ENSG00000168246,UBTD2,3,ubiquitin and UBL proteins,non-enzymes,variable
ENSG00000214357,NEURL1B,13,E3 ligase ,Neuralized,variable
ENSG00000113194,FAF2,0,p97 and associates,"UBX, thioredoxin-like, UBA",variable
ENSG00000146083,RNF44,1,E3 ligase ,other,variable
ENSG00000087206,UIMC1,2,ubiquitin and UBL binding,RAP80 NTD,variable
ENSG00000145916,RMND5B,2,E3 ligase ,subunit,variable
ENSG00000244234,GMCL1P1,2,E3 ligase ,BTB,variable
ENSG00000161011,SQSTM1,2,proteasome & associates,PB1,variable
ENSG00000113269,RNF130,5,E3 ligase ,Goliath,variable
ENSG00000146054,TRIM7,16,E3 ligase ,TRIM,variable
ENSG00000146063,TRIM41,1,E3 ligase ,TRIM,variable
ENSG00000183718,TRIM52,0,E3 ligase ,TRIM,core
ENSG00000124535,WRNIP1,0,ubiquitin and UBL binding,DNA polymerase accessory,core
ENSG00000180822,PSMG4,1,proteasome & associates,core particle,variable
ENSG00000010017,RANBP9,3,E3 ligase ,subunit,variable
ENSG00000180537,RNF182,19,E3 ligase ,other,variable
ENSG00000007944,MYLIP,8,E3 ligase ,other,variable
ENSG00000124789,NUP153,0,ubiquitin and UBL binding,RanBP2-type ZnF,core
ENSG00000187566,NHLRC1,6,E3 ligase ,other,variable
ENSG00000137393,RNF144B,12,E3 ligase ,assorted,variable
ENSG00000111802,TDP2,1,ubiquitin and UBL binding,5'-tyrosyl DNA phosphodiesterase,variable
ENSG00000112343,TRIM38,8,E3 ligase ,TRIM,variable
ENSG00000204713,TRIM27,2,E3 ligase ,TRIM,variable
ENSG00000204619,PPP1R11,1,E3 ligase ,nan,variable
ENSG00000204618,RNF39,16,E3 ligase ,SPRY but not TRIM,variable
ENSG00000204616,TRIM31,14,E3 ligase ,TRIM,variable
ENSG00000234127,TRIM26,1,E3 ligase ,TRIM,variable
ENSG00000204599,TRIM39,1,E3 ligase ,TRIM,variable
ENSG00000204463,BAG6,3,proteasome & associates,chaperone,variable
ENSG00000204308,RNF5,1,E3 ligase ,other,variable
ENSG00000204264,PSMB8,8,proteasome & associates,specialized,variable
ENSG00000240065,PSMB9,5,proteasome & associates,specialized,variable
ENSG00000204227,RING1,0,ubiquitin and UBL proteins,E3 ligases,core
ENSG00000204209,DAXX,1,ubiquitin and UBL binding,protein folding & quality control,variable
ENSG00000196821,C6orf106,1,ubiquitin and UBL binding,UBA,variable
ENSG00000112078,KCTD20,1,E3 ligase ,BTB,variable
ENSG00000112130,RNF8,0,E3 ligase ,other,variable
ENSG00000156639,ZFAND3,2,ubiquitin and UBL binding,A20,variable
ENSG00000183826,BTBD9,3,E3 ligase ,BTB,variable
ENSG00000164663,USP49,0,Ub and UBL demodifiers,UBP-ZnF,variable
ENSG00000024048,UBR2,3,proteasome & associates,UBR,variable
ENSG00000124702,KLHDC3,3,E3 ligase ,substrate adaptors,variable
ENSG00000044090,CUL7,2,E3 ligase ,Cullin,variable
ENSG00000112659,CUL9,0,E3 ligase ,Cullin,variable
ENSG00000170734,POLH,1,ubiquitin and UBL binding,DNA polymerase,variable
ENSG00000112146,FBXO9,1,E3 ligase ,F-box,variable
ENSG00000124743,KLHL31,16,E3 ligase ,BTB,variable
ENSG00000112200,ZNF451,0,E3 ligase ,sumoylation,variable
ENSG00000112208,BAG2,11,proteasome & associates,BAG,variable
ENSG00000112701,SENP6,0,Ub and UBL demodifiers,deSUMOylase,core
ENSG00000146247,PHIP,0,E3 ligase ,DCAF,variable
ENSG00000005700,IBTK,4,E3 ligase ,BTB,variable
ENSG00000013392,RWDD2A,6,ubiquitin and UBL binding,RWD domain,variable
ENSG00000135334,AKIRIN2,2,proteasome & associates,Akirin,variable
ENSG00000198833,UBE2J1,2,E2 conjugating enzymes,UBC domain & transmembrane domain,variable
ENSG00000014123,UFL1,2,E3 ligase ,UFMylation,variable
ENSG00000186231,KLHL32,19,E3 ligase ,BTB,variable
ENSG00000112234,FBXL4,2,E3 ligase ,F-box,variable
ENSG00000123552,USP45,3,Ub and UBL demodifiers,UBP-ZnF,variable
ENSG00000085382,HACE1,4,E3 ligase ,ankyrin repeats,variable
ENSG00000081087,OSTM1,3,E3 ligase ,none,variable
ENSG00000056972,TRAF3IP2,7,E3 ligase ,nan,variable
ENSG00000111832,RWDD1,3,ubiquitin and UBL binding,RWD domain,variable
ENSG00000153975,ZUFSP,0,Ub and UBL demodifiers,DUB,variable
ENSG00000146373,RNF217,4,E3 ligase ,assorted,variable
ENSG00000118518,RNF146,3,E3 ligase ,Deltex,variable
ENSG00000112339,HBS1L,2,ubiquitin and UBL binding,translation QC factor,variable
