ENSG,Name,abs expressing tissues,Class,Type,core/var
ENSG00000097033,SH3GLB1,2,Autophagosome closure maturation and lysosome fusion,Class 3 PI3K complex 2 component,variable
ENSG00000137942,FNBP1L,3,Autophagophore initiation and elongation,Preparation of ATG8 homologs for lipidation,variable
ENSG00000162627,SNX7,5,Autophagophore initiation and elongation,ATG9 localization,variable
ENSG00000116299,KIAA1324,24,Specific function in autophagy unknown,nan,variable
ENSG00000065135,GNAI3,3,Pre-initiation autophagy signaling,nan,variable
ENSG00000134248,LAMTOR5,1,Pre-initiation autophagy signaling,Nutrient sensing,variable
ENSG00000156171,DRAM2,1,Autophagosome closure maturation and lysosome fusion,nan,variable
ENSG00000134242,PTPN22,7,Autophagophore initiation and elongation,Preparation of ATG8 homologs for lipidation,variable
ENSG00000213281,NRAS,2,Pre-initiation autophagy signaling,MAPK1 signaling pathway,variable
ENSG00000131791,PRKAB2,5,Pre-initiation autophagy signaling,"AMPK signaling pathway, direct",variable
ENSG00000143384,MCL1,6,Autophagophore initiation and elongation,Modulator of class 3 PI3K complex 1 activity,variable
ENSG00000163131,CTSS,7,Lysosomal catabolism,Lysosomal protease,variable
ENSG00000143387,CTSK,14,Lysosomal catabolism,Lysosomal protease,variable
ENSG00000143393,PI4KB,0,Autophagophore initiation and elongation,PI4P production,core
ENSG00000143553,SNAPIN,1,Autophagosome closure maturation and lysosome fusion,BORC complex component,variable
ENSG00000143575,HAX1,2,Autophagophore initiation and elongation,Modulator of class 3 PI3K complex 1 activity,variable
ENSG00000177628,GBA,4,Lysosomal catabolism,Lysosomal sphingomyelin/ceramide metabolism,variable
ENSG00000132718,SYT11,18,Pre-initiation autophagy signaling,mTORC1 signal integration,variable
ENSG00000116586,LAMTOR2,2,Pre-initiation autophagy signaling,Nutrient sensing,variable
ENSG00000163565,IFI16,13,Pre-initiation autophagy signaling,"AMPK signaling pathway, upstream",variable
ENSG00000162734,PEA15,10,Autophagophore initiation and elongation,Hypoxia signaling pathway,variable
ENSG00000066294,CD84,7,Autophagy gene expression,Modulator of IRF8 activity,variable
ENSG00000143222,UFC1,0,Autophagy substrate selection,ERphagy,core
ENSG00000118217,ATF6,0,Autophagy gene expression,Transcription factor,variable
ENSG00000117592,PRDX6,3,Lysosomal catabolism,Lysosomal phospholipase,variable
ENSG00000076321,KLHL20,0,Autophagophore initiation and elongation,Modulator of ULK1 activity,variable
ENSG00000116260,QSOX1,9,Autophagosome closure maturation and lysosome fusion,nan,variable
ENSG00000135823,STX6,3,Autophagosome closure maturation and lysosome fusion,Lysosome-endosome SNARE complex,variable
ENSG00000121481,RNF2,0,Autophagophore initiation and elongation,Modulator of class 3 PI3K complex 1 activity,variable
ENSG00000143862,ARL8A,3,Autophagosome closure maturation and lysosome fusion,Movement of autophagosomes along microtubules,variable
ENSG00000117280,RAB29,2,Autophagosome closure maturation and lysosome fusion,Tethering factor recruitment,variable
ENSG00000276600,RAB7B,14,Autophagy substrate selection,Lipophagy,variable
ENSG00000162889,MAPKAPK2,7,Autophagophore initiation and elongation,Modulator of class 3 PI3K complex 1 activity,variable
ENSG00000180667,YOD1,4,Autophagy substrate selection,Lysophagy,variable
ENSG00000143514,TP53BP2,2,Autophagophore initiation and elongation,Modulator of class 3 PI3K complex 1 activity,variable
ENSG00000162931,TRIM17,15,Autophagy substrate selection,Midbody autophagy,variable
ENSG00000168118,RAB4A,3,Autophagophore initiation and elongation,Mitochondrial membrane input,variable
ENSG00000116903,EXOC8,1,Autophagophore initiation and elongation,Modulator of ULK1 complex assembly,variable
ENSG00000077585,GPR137B,7,Pre-initiation autophagy signaling,Nutrient sensing,variable
ENSG00000116977,LGALS8,2,Autophagy substrate selection,Xenophagy,variable
ENSG00000197769,MAP1LC3C,19,Autophagy substrate selection,Recognized via LIRs in receptors for several forms of selective autophagy,variable
ENSG00000171853,TRAPPC12,1,Autophagophore initiation and elongation,TRAPP complex component,variable
ENSG00000143882,ATP6V1C2,10,Pre-initiation autophagy signaling,Nutrient sensing,variable
ENSG00000134324,LPIN1,4,Autophagophore initiation and elongation,Modulator of class 3 PI3K complex 1 activity,variable
ENSG00000118960,HS1BP3,3,Autophagophore initiation and elongation,Endosomal membrane input,variable
ENSG00000075426,FOSL2,11,Autophagy gene expression,Component of AP-1 transcription factor,variable
ENSG00000115760,BIRC6,0,Autophagosome closure maturation and lysosome fusion,Lysosome-autophagosome SNARE complex regulator,variable
ENSG00000171055,FEZ2,5,Autophagophore initiation and elongation,Modulator of ULK1 activity,variable
ENSG00000055332,EIF2AK2,1,Autophagy gene expression,Inflammation related autophagy regulation,variable
ENSG00000119787,ATL2,5,Autophagophore initiation and elongation,Modulator of ULK1 activity,variable
ENSG00000138095,LRPPRC,2,Autophagophore initiation and elongation,Modulator of class 3 PI3K complex 1 activity,variable
ENSG00000250565,ATP6V1E2,2,Pre-initiation autophagy signaling,Nutrient sensing,variable
ENSG00000115355,CCDC88A,9,Pre-initiation autophagy signaling,nan,variable
ENSG00000162924,REL,4,Autophagy gene expression,Component of NFkB transcription factor,variable
ENSG00000138069,RAB1A,0,Autophagophore initiation and elongation,Localization of ULK1 complex,core
ENSG00000116005,PCYOX1,4,Lysosomal catabolism,Lysosomal de-prenylation,variable
ENSG00000116039,ATP6V1B1,17,Pre-initiation autophagy signaling,Nutrient sensing,variable
ENSG00000144036,EXOC6B,4,Autophagophore initiation and elongation,Modulator of ULK1 complex assembly,variable
ENSG00000115307,AUP1,1,Autophagy substrate selection,Lipophagy,variable
ENSG00000115317,HTRA2,0,Autophagophore initiation and elongation,Modulator of class 3 PI3K complex 1 activity,core
ENSG00000159399,HK2,18,Autophagy substrate selection,Mitophagy,variable
ENSG00000115363,EVA1A,20,Autophagophore initiation and elongation,Preparation of ATG8 homologs for lipidation,variable
ENSG00000118640,VAMP8,14,Autophagosome closure maturation and lysosome fusion,Lysosome-autophagosome SNARE complex,variable
ENSG00000132305,IMMT,2,Autophagy substrate selection,Mitophagy,variable
ENSG00000115561,CHMP3,2,Autophagosome closure maturation and lysosome fusion,ESCRT-III complex component,variable
ENSG00000172071,EIF2AK3,2,Autophagy gene expression,ER stress signaling pathway,variable
ENSG00000153094,BCL2L11,7,Autophagophore initiation and elongation,MAPK8 signaling pathway,variable
ENSG00000144118,RALB,4,Autophagophore initiation and elongation,Modulator of ULK1 complex assembly,variable
ENSG00000136560,TANK,2,Autophagy substrate selection,Mitophagy,variable
ENSG00000197635,DPP4,19,Lysosomal catabolism,Lysosomal peptidase,variable
ENSG00000115806,GORASP2,0,Autophagosome closure maturation and lysosome fusion,ATG8-LAMP2 interaction modulator,core
ENSG00000116044,NFE2L2,2,Autophagy gene expression,Transcription factor,variable
ENSG00000204311,DFNB59,3,Autophagy substrate selection,Pexophagy,variable
ENSG00000115415,STAT1,2,Autophagy gene expression,nan,variable
ENSG00000003402,CFLAR,9,Autophagophore initiation and elongation,Modulator of class 3 PI3K complex 1 activity,variable
ENSG00000115020,PIKFYVE,0,Autophagosome closure maturation and lysosome fusion,PIKFYVE complex component,variable
ENSG00000115592,PRKAG3,19,Pre-initiation autophagy signaling,"AMPK signaling pathway, direct",variable
ENSG00000144567,FAM134A,5,Autophagy substrate selection,ERphagy,variable
ENSG00000198925,ATG9A,3,Autophagophore initiation and elongation,ATG9 homolog,variable
ENSG00000036257,CUL3,2,Autophagophore initiation and elongation,Modulator of ULK1 activity,variable
ENSG00000169047,IRS1,12,Pre-initiation autophagy signaling,Insulin signaling pathway,variable
ENSG00000135932,CAB39,1,Pre-initiation autophagy signaling,"AMPK signaling pathway, direct",variable
ENSG00000135914,HTR2B,17,Pre-initiation autophagy signaling,Phosphorylates mTORC1 targets,variable
ENSG00000085978,ATG16L1,1,Autophagophore initiation and elongation,Preparation of ATG8 homologs for lipidation,variable
ENSG00000130147,SH3BP4,4,Pre-initiation autophagy signaling,Nutrient sensing,variable
ENSG00000124839,RAB17,14,Autophagy substrate selection,Xenophagy,variable
ENSG00000168397,ATG4B,0,Autophagophore initiation and elongation,Preparation of ATG8 homologs for lipidation,core
ENSG00000204099,NEU4,21,Lysosomal catabolism,Lysosomal sialidase,variable
ENSG00000150995,ITPR1,11,Pre-initiation autophagy signaling,"AMPK signaling pathway, upstream",variable
ENSG00000134108,ARL8B,1,Autophagosome closure maturation and lysosome fusion,Movement of autophagosomes along microtubules,variable
ENSG00000163719,MTMR14,2,Autophagophore initiation and elongation,Regulation of PI3P levels,variable
ENSG00000134072,CAMK1,9,Autophagophore initiation and elongation,ATG2-WIPI complex modulator,variable
ENSG00000157020,SEC13,0,Pre-initiation autophagy signaling,Nutrient sensing,core
ENSG00000197548,ATG7,1,Autophagophore initiation and elongation,Preparation of ATG8 homologs for lipidation,variable
ENSG00000132155,RAF1,2,Pre-initiation autophagy signaling,MAPK1 signaling pathway,variable
ENSG00000131374,TBC1D5,0,Autophagophore initiation and elongation,ATG9 localization,variable
ENSG00000144566,RAB5A,1,Autophagophore initiation and elongation,Modulator of class 3 PI3K complex 1 activity,variable
ENSG00000163512,AZI2,0,Autophagy substrate selection,Xenophagy,variable
ENSG00000170266,GLB1,1,Lysosomal catabolism,Lysosomal galactosidase,variable
ENSG00000170248,PDCD6IP,0,Autophagosome closure maturation and lysosome fusion,Localization of the ESCRT-III complex,core
ENSG00000168036,CTNNB1,2,Autophagy gene expression,Repressor of TCF7L2 activity,variable
ENSG00000011198,ABHD5,5,Autophagophore initiation and elongation,Modulator of class 3 PI3K complex 1 activity,variable
ENSG00000163820,FYCO1,9,Autophagosome closure maturation and lysosome fusion,Movement of autophagosomes along microtubules,variable
ENSG00000114302,PRKAR2A,2,Pre-initiation autophagy signaling,"AMPK signaling pathway, direct",variable
ENSG00000164077,MON1A,1,Autophagosome closure maturation and lysosome fusion,Tethering factor recruitment,variable
ENSG00000186792,HYAL3,7,Lysosomal catabolism,Lysosomal hyaluronidase,variable
ENSG00000114378,HYAL1,14,Lysosomal catabolism,Lysosomal hyaluronidase,variable
ENSG00000068001,HYAL2,6,Lysosomal catabolism,Lysosomal hyaluronidase,variable
ENSG00000114388,NPRL2,0,Pre-initiation autophagy signaling,Nutrient sensing,core
ENSG00000114738,MAPKAPK3,8,Autophagophore initiation and elongation,Modulator of class 3 PI3K complex 1 activity,variable
ENSG00000164081,TEX264,2,Autophagy substrate selection,ERphagy,variable
ENSG00000163932,PRKCD,10,Autophagophore initiation and elongation,Hypoxia signaling pathway,variable
ENSG00000056736,IL17RB,13,Pre-initiation autophagy signaling,"AMPK signaling pathway, direct",variable
ENSG00000163686,ABHD6,11,Lysosomal catabolism,Lysosomal lipase,variable
ENSG00000083937,CHMP2B,3,Autophagosome closure maturation and lysosome fusion,ESCRT-III complex component,variable
ENSG00000163507,KIAA1524,4,Pre-initiation autophagy signaling,Modulator of mTORC1 activity,variable
ENSG00000144848,ATG3,3,Autophagophore initiation and elongation,Preparation of ATG8 homologs for lipidation,variable
ENSG00000114573,ATP6V1A,6,Pre-initiation autophagy signaling,Nutrient sensing,variable
ENSG00000082701,GSK3B,0,Autophagophore initiation and elongation,Modulator of ULK1 activity,core
ENSG00000114520,SNX4,1,Autophagophore initiation and elongation,ATG9 localization,variable
ENSG00000075785,RAB7A,3,Autophagy substrate selection,Lipophagy,variable
ENSG00000196455,PIK3R4,0,Autophagophore initiation and elongation,Class 3 PI3K complex 1 component,variable
ENSG00000014257,ACPP,20,Lysosomal catabolism,nan,variable
ENSG00000081307,UBA5,1,Autophagy substrate selection,ERphagy,variable
ENSG00000051382,PIK3CB,2,Pre-initiation autophagy signaling,Insulin signaling pathway,variable
ENSG00000018408,WWTR1,11,Autophagy gene expression,Cellular mechanics sensing,variable
ENSG00000008952,SEC62,2,Autophagy substrate selection,ERphagy,variable
ENSG00000163558,PRKCI,1,Pre-initiation autophagy signaling,Insulin signaling pathway,variable
ENSG00000075651,PLD1,12,Lysosomal catabolism,Lysosomal phospholipase,variable
ENSG00000121879,PIK3CA,0,Pre-initiation autophagy signaling,Insulin signaling pathway,variable
ENSG00000171109,MFN1,1,Autophagy substrate selection,Mitophagy,variable
ENSG00000058056,USP13,6,Autophagophore initiation and elongation,Modulator of class 3 PI3K complex 1 activity,variable
ENSG00000181449,SOX2,26,Autophagy gene expression,Transcription factor,variable
ENSG00000078081,LAMP3,18,Lysosomal catabolism,none,variable
ENSG00000175193,PARL,0,Autophagy substrate selection,Mitophagy,core
ENSG00000114867,EIF4G1,1,Autophagy gene expression,nan,variable
ENSG00000073282,TP63,23,Autophagy gene expression,Transcription factor,variable
ENSG00000198836,OPA1,3,Autophagy substrate selection,nan,variable
ENSG00000145016,RUBCN,2,Autophagosome closure maturation and lysosome fusion,Class 3 PI3K complex 2 component,variable
ENSG00000127419,TMEM175,1,Lysosomal catabolism,Lysosomal acidification,variable
ENSG00000127415,IDUA,4,Lysosomal catabolism,Lysosomal iduronidase,variable
ENSG00000197386,HTT,0,Autophagosome closure maturation and lysosome fusion,Retrograde transport along axons,variable
ENSG00000013288,MAN2B2,4,Lysosomal catabolism,Lysosomal mannosidase,variable
ENSG00000132405,TBC1D14,1,Autophagophore initiation and elongation,Localization of ULK1 complex components,variable
ENSG00000007062,PROM1,23,Pre-initiation autophagy signaling,Miscellaneous mTORC1 regulation,variable
ENSG00000109819,PPARGC1A,16,Autophagy substrate selection,SQSTM1 regulation,variable
ENSG00000154277,UCHL1,22,Autophagophore initiation and elongation,Deubiquitination of ATG8 homologs,variable
ENSG00000163071,SPATA18,14,Autophagy substrate selection,nan,variable
ENSG00000128052,KDR,13,Autophagophore initiation and elongation,Modulator of class 3 PI3K complex 1 activity,variable
ENSG00000090989,EXOC1,0,Autophagophore initiation and elongation,Modulator of ULK1 complex assembly,core
ENSG00000018189,RUFY3,3,Autophagosome closure maturation and lysosome fusion,Movement of autophagosomes along microtubules,variable
ENSG00000138744,NAAA,7,Lysosomal catabolism,Lysosomal fatty acid amidase,variable
ENSG00000118804,STBD1,11,Autophagy substrate selection,Glycophagy,variable
ENSG00000163291,PAQR3,4,Autophagophore initiation and elongation,Modulator of class 3 PI3K complex 1 activity,variable
ENSG00000138674,SEC31A,0,Autophagophore initiation and elongation,ER membrane input,core
ENSG00000173083,HPSE,17,Lysosomal catabolism,Lysosomal heparinase,variable
ENSG00000163625,WDFY3,2,Autophagy substrate selection,Aggrephagy,variable
ENSG00000118785,SPP1,22,Autophagophore initiation and elongation,Signaling upstream of ATG9 localization,variable
ENSG00000109270,LAMTOR3,2,Pre-initiation autophagy signaling,Nutrient sensing,variable
ENSG00000109320,NFKB1,4,Autophagy gene expression,Component of NFkB transcription factor,variable
ENSG00000109323,MANBA,2,Lysosomal catabolism,Lysosomal mannosidase,variable
ENSG00000109332,UBE2D3,1,Autophagy substrate selection,Mitophagy,variable
ENSG00000145354,CISD2,2,Autophagophore initiation and elongation,Modulator of class 3 PI3K complex 1 activity,variable
ENSG00000138802,SEC24B,2,Autophagophore initiation and elongation,ER membrane input,variable
ENSG00000150961,SEC24D,10,Autophagophore initiation and elongation,ER membrane input,variable
ENSG00000172403,SYNPO2,19,Chaperone directed autophagy,Substrate delivery,variable
ENSG00000172007,RAB33B,2,Autophagophore initiation and elongation,Preparation of ATG8 homologs for lipidation,variable
ENSG00000153130,SCOC,7,Autophagophore initiation and elongation,Modulator of ULK1 activity,variable
ENSG00000109670,FBXW7,6,Pre-initiation autophagy signaling,Modulator of mTORC1 activity,variable
ENSG00000256043,CTSO,5,Lysosomal catabolism,Lysosomal protease,variable
ENSG00000038002,AGA,2,Lysosomal catabolism,Lysosomal protein deglycosidase,variable
ENSG00000168538,TRAPPC11,0,Autophagophore initiation and elongation,TRAPP complex component,core
ENSG00000151729,SLC25A4,12,Autophagy substrate selection,Mitophagy,variable
ENSG00000180104,EXOC3,0,Autophagophore initiation and elongation,Modulator of ULK1 complex assembly,core
ENSG00000112977,DAP,6,Pre-initiation autophagy signaling,mTORC1 independent autophagy inhibition,variable
ENSG00000154153,FAM134B,14,Autophagy substrate selection,ERphagy,variable
ENSG00000145604,SKP2,3,Autophagy substrate selection,SQSTM1 regulation,variable
ENSG00000164327,RICTOR,0,Pre-initiation autophagy signaling,Insulin signaling pathway,variable
ENSG00000132356,PRKAA1,1,Pre-initiation autophagy signaling,"AMPK signaling pathway, direct",variable
ENSG00000178996,SNX18,7,Autophagophore initiation and elongation,Endosomal membrane input,variable
ENSG00000177058,SLC38A9,1,Pre-initiation autophagy signaling,Nutrient sensing,variable
ENSG00000113595,TRIM23,3,Pre-initiation autophagy signaling,Miscellaneous mTORC1 regulation,variable
ENSG00000113597,TRAPPC13,1,Autophagophore initiation and elongation,TRAPP complex component,variable
ENSG00000145675,PIK3R1,8,Pre-initiation autophagy signaling,Insulin signaling pathway,variable
ENSG00000134057,CCNB1,5,Pre-initiation autophagy signaling,Phosphorylates mTORC1 targets,variable
ENSG00000049860,HEXB,3,Lysosomal catabolism,Lysosomal hexosaminidase,variable
ENSG00000164253,WDR41,0,Autophagophore initiation and elongation,Modulator of ULK1 activity,variable
ENSG00000113273,ARSB,3,Lysosomal catabolism,nan,variable
ENSG00000152409,JMY,0,Autophagophore initiation and elongation,nan,variable
ENSG00000152348,ATG10,0,Autophagophore initiation and elongation,Preparation of ATG8 homologs for lipidation,variable
ENSG00000145782,ATG12,0,Autophagophore initiation and elongation,Preparation of ATG8 homologs for lipidation,variable
ENSG00000064692,SNCAIP,12,Autophagy substrate selection,Mitophagy,variable
ENSG00000113368,LMNB1,11,Autophagy substrate selection,Nucleophagy,variable
ENSG00000217128,FNIP1,1,Pre-initiation autophagy signaling,Nutrient sensing,variable
ENSG00000169194,IL13,8,Pre-initiation autophagy signaling,Insulin signaling pathway,variable
ENSG00000213585,VDAC1,3,Autophagy substrate selection,Mitophagy,variable
ENSG00000113558,SKP1,1,Autophagophore initiation and elongation,Modulator of class 3 PI3K complex 1 activity,variable
ENSG00000113575,PPP2CA,1,Autophagophore initiation and elongation,Modulator of ULK1 activity,variable
ENSG00000152700,SAR1B,4,Pre-initiation autophagy signaling,Nutrient sensing,variable
ENSG00000113615,SEC24A,3,Autophagophore initiation and elongation,ER membrane input,variable
ENSG00000184584,TMEM173,12,Autophagophore initiation and elongation,nan,variable
ENSG00000131508,UBE2D2,0,Autophagy substrate selection,Mitophagy,core
ENSG00000133706,LARS,1,Pre-initiation autophagy signaling,Nutrient sensing,variable
ENSG00000169252,ADRB2,17,Autophagy substrate selection,Lipophagy,variable
ENSG00000113712,CSNK1A1,1,Pre-initiation autophagy signaling,MAPK1 signaling pathway,variable
ENSG00000196743,GM2A,6,Lysosomal catabolism,Lysosomal hexosaminidase,variable
ENSG00000113732,ATP6V0E1,4,Pre-initiation autophagy signaling,Nutrient sensing,variable
ENSG00000113734,BNIP1,0,Autophagy substrate selection,Mitophagy,variable
ENSG00000169228,RAB24,2,Autophagosome closure maturation and lysosome fusion,nan,variable
ENSG00000161011,SQSTM1,2,Autophagophore initiation and elongation,nan,variable
ENSG00000204628,RACK1,5,Autophagophore initiation and elongation,Preparation of ATG8 homologs for lipidation,variable
ENSG00000112685,EXOC2,0,Autophagophore initiation and elongation,Modulator of ULK1 complex assembly,variable
ENSG00000137275,RIPK1,1,Autophagophore initiation and elongation,ER stress signaling pathway,variable
ENSG00000239264,TXNDC5,5,Lysosomal catabolism,Lysosomal protein disulfide isomerase,variable
ENSG00000112293,GPLD1,10,Lysosomal catabolism,Lysosomal phospholipase,variable
ENSG00000189298,ZKSCAN3,0,Autophagy gene expression,nan,variable
ENSG00000213760,ATP6V1G2,23,Pre-initiation autophagy signaling,Nutrient sensing,variable
ENSG00000204435,CSNK2B,0,Autophagophore initiation and elongation,Preparation of ATG8 homologs for lipidation,core
ENSG00000204389,HSPA1A,7,Autophagophore initiation and elongation,Modulator of class 3 PI3K complex 1 activity,variable
ENSG00000204388,HSPA1B,10,Autophagophore initiation and elongation,Modulator of class 3 PI3K complex 1 activity,variable
ENSG00000204386,NEU1,3,Lysosomal catabolism,Lysosomal sialidase,variable
ENSG00000204371,EHMT2,1,Autophagy gene expression,Suppressor of autophagy gene transcription,variable
ENSG00000221988,PPT2,2,Lysosomal catabolism,Lysosomal de-palmitoylation,variable
ENSG00000204308,RNF5,1,Autophagophore initiation and elongation,Preparation of ATG8 homologs for lipidation,variable
ENSG00000204209,DAXX,1,Autophagy gene expression,nan,variable
ENSG00000096060,FKBP5,8,Autophagophore initiation and elongation,Modulator of class 3 PI3K complex 1 activity,variable
ENSG00000112062,MAPK14,2,Autophagophore initiation and elongation,Signaling upstream of ATG9 localization,variable
ENSG00000112079,STK38,4,Autophagophore initiation and elongation,Modulator of class 3 PI3K complex 1 assembly,variable
ENSG00000095970,TREM2,22,Pre-initiation autophagy signaling,Modulator of mTORC1 activity,variable
ENSG00000112561,TFEB,6,Autophagy gene expression,Transcription factor,variable
ENSG00000112210,RAB23,9,Autophagy substrate selection,Xenophagy,variable
ENSG00000156508,EEF1A1,7,Chaperone directed autophagy,Substrate delivery,variable
ENSG00000196586,MYO6,5,Autophagosome closure maturation and lysosome fusion,Movement of autophagosomes along actin,variable
ENSG00000135317,SNX14,1,Autophagosome closure maturation and lysosome fusion,nan,variable
ENSG00000025039,RRAGD,9,Pre-initiation autophagy signaling,Nutrient sensing,variable
ENSG00000135341,MAP3K7,0,Pre-initiation autophagy signaling,"AMPK signaling pathway, direct",core
ENSG00000014123,UFL1,2,Autophagy substrate selection,ERphagy,variable
ENSG00000057663,ATG5,0,Autophagophore initiation and elongation,Preparation of ATG8 homologs for lipidation,variable
ENSG00000118689,FOXO3,4,Autophagophore initiation and elongation,Modulator of ULK1 complex assembly,variable
ENSG00000080546,SESN1,1,Pre-initiation autophagy signaling,Nutrient sensing,variable
ENSG00000112367,FIG4,0,Autophagosome closure maturation and lysosome fusion,PIKFYVE complex component,variable
ENSG00000152661,GJA1,16,Autophagophore initiation and elongation,Preparation of ATG8 homologs for lipidation,variable
ENSG00000079950,STX7,2,Autophagophore initiation and elongation,ATG16L1-positive plasma membrane input,variable
ENSG00000029363,BCLAF1,0,Autophagophore initiation and elongation,Modulator of class 3 PI3K complex 1 activity,core
ENSG00000118503,TNFAIP3,9,Pre-initiation autophagy signaling,Modulator of mTORC1 activity,variable
ENSG00000001036,FUCA2,3,Lysosomal catabolism,Lysosomal fusocidase,variable
ENSG00000118508,RAB32,9,Autophagophore initiation and elongation,ER membrane input,variable
ENSG00000055208,TAB2,1,Autophagophore initiation and elongation,Modulator of class 3 PI3K complex 1 activity,variable
ENSG00000185345,PARK2,10,Autophagy substrate selection,Mitophagy,variable
ENSG00000188191,PRKAR1B,11,Pre-initiation autophagy signaling,"AMPK signaling pathway, direct",variable
ENSG00000164916,FOXK1,0,Autophagy gene expression,Suppressor of autophagy gene transcription,variable
ENSG00000157954,WIPI2,0,Autophagophore initiation and elongation,ATG2-WIPI complex component,core
ENSG00000011275,RNF216,1,Autophagophore initiation and elongation,Modulator of class 3 PI3K complex 1 activity,variable
ENSG00000122674,CCZ1,0,Autophagosome closure maturation and lysosome fusion,Tethering factor recruitment,variable
ENSG00000136238,RAC1,2,Chaperone directed autophagy,Substrate delivery,variable
ENSG00000164535,DAGLB,2,Lysosomal catabolism,Lysosomal lipase,variable
ENSG00000146574,CCZ1B,0,Autophagosome closure maturation and lysosome fusion,Tethering factor recruitment,variable
ENSG00000164654,MIOS,1,Pre-initiation autophagy signaling,Nutrient sensing,variable
ENSG00000219545,UMAD1,1,Autophagosome closure maturation and lysosome fusion,ESCRT-I complex component,variable
ENSG00000106460,TMEM106B,2,Lysosomal catabolism,Lysosomal acidification,variable
ENSG00000136244,IL6,21,Pre-initiation autophagy signaling,Inhibition of apoptosis by caspase-8 inhibition,variable
ENSG00000196683,TOMM7,3,Autophagy substrate selection,Mitophagy,variable
ENSG00000106052,TAX1BP1,0,Autophagy substrate selection,Mitophagy,core
ENSG00000106100,NOD1,9,Autophagophore initiation and elongation,Preparation of ATG8 homologs for lipidation,variable
ENSG00000006715,VPS41,2,Autophagosome closure maturation and lysosome fusion,HOPS complex component,variable
ENSG00000106636,YKT6,0,Autophagosome closure maturation and lysosome fusion,Lysosome-autophagosome SNARE complex,core
ENSG00000146674,IGFBP3,19,Pre-initiation autophagy signaling,Insulin signaling pathway,variable
ENSG00000146648,EGFR,10,Autophagophore initiation and elongation,Modulator of class 3 PI3K complex 1 activity,variable
ENSG00000146729,GBAS,7,Autophagy substrate selection,Mitophagy,variable
ENSG00000169919,GUSB,3,Lysosomal catabolism,Lysosomal glucuronidase,variable
